Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3
The Circus,1928,8.1,72,37000,G,90.0,The Tramp finds work and the girl of his dreams at a circus.,Charles Chaplin,Charles Chaplin, Merna Kennedy, Al Ernest Garcia
The Fog of War,2003,8.1,107,25000,PG-13,87.0,"The story of America as seen through the eyes of the former Secretary of Defense under President John F. Kennedy and President Lyndon B. Johnson, Robert McNamara.",Errol Morris,Robert McNamara, John F. Kennedy, Fidel Castro
The Color of Paradise,1999,8.1,90,19000,PG,80.0,"The story of Mohammed, a blind Iranian boy and his father, Hashem, who is always oscillating between accepting his son as he is and abandoning him, as he represents a burden for him, after the loss of his wife.",Majid Majidi,Hossein Mahjoub, Mohsen Ramezani, Salameh Feyzi
Collective,2019,8.1,109,14000,Not Rated,95.0,Director Alexander Nanau follows a crack team of investigators at the Romanian newspaper Gazeta Sporturilor as they try to uncover a vast health-care fraud that enriched moguls and politicians and led to the deaths of innocent citizens.,Alexander Nanau,Dan Alexandru Condrea, Liviu Iolu, Razvan Lutac
Early Summer,1951,8.1,125,10000,Not Rated,94.0,"A family chooses a match for their daughter Noriko, but she, surprisingly, has her own plans.",Yasujirô Ozu,Setsuko Hara, Chishû Ryû, Chikage Awashima
Virunga,2014,8.1,100,12000,Not Rated,95.0,A team of brave individuals risk their lives to protect the last mountain gorillas.,Orlando von Einsiedel,André Bauma, Emmanuel de Merode, Mélanie Gouby
Dune: Part One,2021,8.0,155,934000,PG-13,74.0,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource.",Denis Villeneuve,Timothée Chalamet, Rebecca Ferguson, Zendaya
Blade Runner 2049,2017,8.0,164,700000,R,81.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Denis Villeneuve,Harrison Ford, Ryan Gosling, Ana de Armas
The Straight Story,1999,8.0,112,101000,G,86.0,"Alvin Straight, a 73-year-old, learns that his estranged brother, Lyle is critically ill. Unable to drive, Alvin embarks on a journey from Iowa to Mt. Zion, by riding a lawn mower. Will he succeed?",David Lynch,Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz
The Revenant,2015,8.0,156,900000,R,76.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Alejandro G. Iñárritu,Leonardo DiCaprio, Tom Hardy, Will Poulter
The Princess Bride,1987,8.0,98,462000,PG,78.0,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,Cary Elwes, Mandy Patinkin, Robin Wright
Guardians of the Galaxy,2014,8.0,121,1300000,PG-13,76.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,James Gunn,Chris Pratt, Vin Diesel, Bradley Cooper
Her,2013,8.0,126,693000,R,91.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,Joaquin Phoenix, Amy Adams, Scarlett Johansson
La La Land,2016,8.0,128,706000,PG-13,94.0,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",Damien Chazelle,Ryan Gosling, Emma Stone, Rosemarie DeWitt
Donnie Darko,2001,8.0,113,873000,R,88.0,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Richard Kelly,Jake Gyllenhaal, Jena Malone, Mary McDonnell
The Martian,2015,8.0,144,956000,PG-13,80.0,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",Ridley Scott,Matt Damon, Jessica Chastain, Kristen Wiig
The Incredibles,2004,8.0,115,842000,PG,90.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,Craig T. Nelson, Samuel L. Jackson, Holly Hunter
The Avengers,2012,8.0,143,1500000,PG-13,69.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Joss Whedon,Robert Downey Jr., Chris Evans, Scarlett Johansson
Deadpool,2016,8.0,108,1200000,R,65.0,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",Tim Miller,Ryan Reynolds, Morena Baccarin, T.J. Miller
Sin City,2005,8.0,124,803000,R,74.0,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.","Frank Miller, Quentin Tarantino, Robert Rodriguez",Mickey Rourke, Clive Owen, Bruce Willis
Black Swan,2010,8.0,108,849000,R,79.0,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",Darren Aronofsky,Natalie Portman, Mila Kunis, Vincent Cassel
How to Make Millions Before Grandma Dies,2024,8.0,125,11000,TV-PG,74.0,"A man, driven by his desire for a multi-million dollar inheritance, begins to care for his terminally ill grandmother. However, winning her favor will not be an easy task and he is not the only one with an eye on the money.",Pat Boonnitipat,Putthipong Assaratanakul, Usha Seamkhum, Sanya Kunakorn
Sling Blade,1996,8.0,135,101000,R,85.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,Billy Bob Thornton, Dwight Yoakam, J.T. Walsh
Zootopia,2016,8.0,108,570000,PG,78.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","Byron Howard, Rich Moore, Jared Bush",Ginnifer Goodwin, Jason Bateman, Idris Elba
The Imitation Game,2014,8.0,114,845000,PG-13,71.0,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",Morten Tyldum,Benedict Cumberbatch, Keira Knightley, Matthew Goode
Casino Royale,2006,8.0,144,711000,PG-13,80.0,"After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",Martin Campbell,Daniel Craig, Eva Green, Judi Dench
Scent of a Woman,1992,8.0,156,343000,R,57.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Martin Brest,Al Pacino, Chris O'Donnell, James Rebhorn
Lion,2016,8.0,118,257000,PG-13,69.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,Dev Patel, Nicole Kidman, Rooney Mara
CODA,2021,8.0,111,174000,PG-13,72.0,"When the family's fishing business is threatened, Ruby finds herself torn between pursuing her musical passion and her fear of abandoning her deaf parents.",Sian Heder,Emilia Jones, Marlee Matlin, Troy Kotsur
12 Monkeys,1995,8.0,129,659000,R,75.0,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,Bruce Willis, Madeleine Stowe, Brad Pitt
Magnolia,1999,8.0,188,335000,R,78.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",Paul Thomas Anderson,Tom Cruise, Jason Robards, Julianne Moore
Rain Man,1988,8.0,133,559000,R,65.0,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",Barry Levinson,Dustin Hoffman, Tom Cruise, Valeria Golino
Dances with Wolves,1990,8.0,181,298000,PG-13,72.0,A lieutenant assigned to a remote Civil War outpost starts questioning his purpose after making contact with a neighboring Sioux settlement.,Kevin Costner,Kevin Costner, Mary McDonnell, Graham Greene
Rosemary's Baby,1968,8.0,137,246000,R,96.0,"A young couple trying for a baby moves into an aging, ornate apartment building on Central Park West, where they find themselves surrounded by peculiar neighbors.",Roman Polanski,Mia Farrow, John Cassavetes, Ruth Gordon
Perfect Blue,1997,8.0,81,104000,Not Rated,67.0,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Satoshi Kon,Junko Iwao, Rica Matsumoto, Shinpachi Tsuji
Young Frankenstein,1974,8.0,106,174000,PG,83.0,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Mel Brooks,Gene Wilder, Madeline Kahn, Marty Feldman
Groundhog Day,1993,8.0,101,706000,PG,72.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",Harold Ramis,Bill Murray, Andie MacDowell, Chris Elliott
Slumdog Millionaire,2008,8.0,120,890000,R,84.0,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers.","Danny Boyle, Loveleen Tandan",Dev Patel, Freida Pinto, Saurabh Shukla
Aladdin,1992,8.0,90,482000,G,86.0,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Ron Clements, John Musker",Scott Weinger, Robin Williams, Linda Larkin
The Pursuit of Happyness,2006,8.0,117,582000,PG-13,64.0,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Gabriele Muccino,Will Smith, Thandiwe Newton, Jaden Smith
Beauty and the Beast,1991,8.0,84,489000,G,95.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"Gary Trousdale, Kirk Wise",Paige O'Hara, Robby Benson, Jesse Corti
Dogville,2003,8.0,171,162000,R,61.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Lars von Trier,Nicole Kidman, Paul Bettany, Lauren Bacall
Blood Diamond,2006,8.0,143,601000,R,64.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Edward Zwick,Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly
Soul,2020,8.0,100,400000,PG,83.0,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.","Pete Docter, Kemp Powers",Jamie Foxx, Tina Fey, Graham Norton
Big Fish,2003,8.0,125,467000,PG-13,58.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,Ewan McGregor, Albert Finney, Billy Crudup
Kill Bill: Vol. 2,2004,8.0,137,829000,R,83.0,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Quentin Tarantino,Uma Thurman, David Carradine, Michael Madsen
The Graduate,1967,8.0,106,294000,PG,83.0,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Mike Nichols,Dustin Hoffman, Anne Bancroft, Katharine Ross
Stalker,1979,8.0,162,149000,Not Rated,85.0,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Andrei Tarkovsky,Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn
The King's Speech,2010,8.0,118,718000,R,88.0,"The story of King George VI, his unexpected ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Tom Hooper,Colin Firth, Geoffrey Rush, Helena Bonham Carter
Secrets & Lies,1996,8.0,136,49000,R,92.0,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Mike Leigh,Timothy Spall, Brenda Blethyn, Phyllis Logan
Akira,1988,8.0,124,213000,R,68.0,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Katsuhiro Ôtomo,Mitsuo Iwata, Nozomu Sasaki, Mami Koyama
Dog Day Afternoon,1975,8.0,125,279000,R,86.0,"Three amateur robbers plan to hold up a Brooklyn bank. A nice, simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Sidney Lumet,Al Pacino, John Cazale, Penelope Allen
